"Title","Artist","Rank","Chart Date","Imprint"
"Mind Playing Tricks On Me","Geto Boys",19,"1991-12-28","Rap-A-Lot"
"Mind Playing Tricks On Me","Geto Boys",20,"1992-01-04","Rap-A-Lot"
"Step In The Arena","Gang Starr",23,"1992-01-04","Chrysalis"
"Mind Playing Tricks On Me","Geto Boys",22,"1992-01-11","Rap-A-Lot"
"Mind Playing Tricks On Me","Geto Boys",25,"1992-01-18","Rap-A-Lot"
"Mind Playing Tricks On Me","Geto Boys",18,"1992-01-25","Rap-A-Lot"
"Ring The Alarm","Fu-Schnickens",26,"1992-02-01","Jive"
"Mind Playing Tricks On Me","Geto Boys",27,"1992-02-01","Rap-A-Lot"
"Ring The Alarm","Fu-Schnickens",27,"1992-02-08","Jive"
"Mind Playing Tricks On Me","Geto Boys",29,"1992-02-08","Rap-A-Lot"
"Ring The Alarm","Fu-Schnickens",21,"1992-02-15","Jive"
"Ring The Alarm","Fu-Schnickens",17,"1992-02-22","Jive"
"Ring The Alarm","Fu-Schnickens",15,"1992-02-29","Jive"
"Ring The Alarm","Fu-Schnickens",12,"1992-03-07","Jive"
"Ring The Alarm","Fu-Schnickens",11,"1992-03-14","Jive"
"Ring The Alarm","Fu-Schnickens",8,"1992-03-21","Jive"
"Ring The Alarm","Fu-Schnickens",6,"1992-03-28","Jive"
"Ring The Alarm","Fu-Schnickens",10,"1992-04-04","Jive"
"My Man's Playing Tricks On Me","Ghetto Girlz",29,"1992-04-04","Avenue"
"Ring The Alarm","Fu-Schnickens",15,"1992-04-11","Jive"
"My Man's Playing Tricks On Me","Ghetto Girlz",30,"1992-04-11","Avenue"
"My Man's Playing Tricks On Me","Ghetto Girlz",25,"1992-04-18","Avenue"
"Ring The Alarm","Fu-Schnickens",29,"1992-04-18","Jive"
"My Man's Playing Tricks On Me","Ghetto Girlz",22,"1992-04-25","Avenue"
"My Man's Playing Tricks On Me","Ghetto Girlz",24,"1992-05-02","Avenue"
"My Man's Playing Tricks On Me","Ghetto Girlz",24,"1992-05-09","Avenue"
"Take It Personal","Gang Starr",21,"1992-05-16","Chrysalis"
"La Schmoove","Fu-Schnickens",28,"1992-05-16","Jive"
"Take It Personal","Gang Starr",18,"1992-05-23","Chrysalis"
"La Schmoove","Fu-Schnickens",20,"1992-05-23","Jive"
"Take It Personal","Gang Starr",12,"1992-05-30","Chrysalis"
"La Schmoove","Fu-Schnickens",13,"1992-05-30","Jive"
"La Schmoove","Fu-Schnickens",10,"1992-06-06","Jive"
"Take It Personal","Gang Starr",11,"1992-06-06","Chrysalis"
"Take It Personal","Gang Starr",8,"1992-06-13","Chrysalis"
"La Schmoove","Fu-Schnickens",10,"1992-06-13","Jive"
"Take It Personal","Gang Starr",4,"1992-06-20","Chrysalis"
"La Schmoove","Fu-Schnickens",7,"1992-06-20","Jive"
"Take It Personal","Gang Starr",3,"1992-06-27","Chrysalis"
"La Schmoove","Fu-Schnickens",5,"1992-06-27","Jive"
"Take It Personal","Gang Starr",2,"1992-07-04","Chrysalis"
"La Schmoove","Fu-Schnickens",3,"1992-07-04","Jive"
"Take It Personal","Gang Starr",2,"1992-07-11","Chrysalis"
"La Schmoove","Fu-Schnickens",3,"1992-07-11","Jive"
"Take It Personal","Gang Starr",1,"1992-07-18","Chrysalis"
"La Schmoove","Fu-Schnickens",3,"1992-07-18","Jive"
"Take It Personal","Gang Starr",2,"1992-07-25","Chrysalis"
"La Schmoove","Fu-Schnickens",3,"1992-07-25","Jive"
"Take It Personal","Gang Starr",3,"1992-08-01","Chrysalis"
"La Schmoove","Fu-Schnickens",5,"1992-08-01","Jive"
"Take It Personal","Gang Starr",9,"1992-08-08","Chrysalis"
"La Schmoove","Fu-Schnickens",14,"1992-08-08","Jive"
"Take It Personal","Gang Starr",15,"1992-08-15","Chrysalis"
"La Schmoove","Fu-Schnickens",24,"1992-08-15","Jive"
"360 Degrees (What Goes Around)","Grand Puba",19,"1992-08-22","Elektra"
"Take It Personal","Gang Starr",26,"1992-08-22","Chrysalis"
"360 Degrees (What Goes Around)","Grand Puba",18,"1992-08-29","Elektra"
"Take It Personal","Gang Starr",30,"1992-08-29","Chrysalis"
"360 Degrees (What Goes Around)","Grand Puba",14,"1992-09-05","Elektra"
"360 Degrees (What Goes Around)","Grand Puba",7,"1992-09-12","Elektra"
"360 Degrees (What Goes Around)","Grand Puba",4,"1992-09-19","Elektra"
"Ex Girl To The Next Girl","Gang Starr",18,"1992-09-19","Chrysalis"
"360 Degrees (What Goes Around)","Grand Puba",4,"1992-09-26","Elektra"
"Ex Girl To The Next Girl","Gang Starr",14,"1992-09-26","Chrysalis"
"360 Degrees (What Goes Around)","Grand Puba",3,"1992-10-03","Elektra"
"Ex Girl To The Next Girl","Gang Starr",10,"1992-10-03","Chrysalis"
"360 Degrees (What Goes Around)","Grand Puba",3,"1992-10-10","Elektra"
"Ex Girl To The Next Girl","Gang Starr",7,"1992-10-10","Chrysalis"
"360 Degrees (What Goes Around)","Grand Puba",1,"1992-10-17","Elektra"
"Ex Girl To The Next Girl","Gang Starr",7,"1992-10-17","Chrysalis"
"True Fuschnick","Fu-Schnickens",29,"1992-10-17","Jive"
"360 Degrees (What Goes Around)","Grand Puba",2,"1992-10-24","Elektra"
"Ex Girl To The Next Girl","Gang Starr",6,"1992-10-24","Chrysalis"
"True Fuschnick","Fu-Schnickens",26,"1992-10-24","Jive"
"360 Degrees (What Goes Around)","Grand Puba",5,"1992-10-31","Elektra"
"Ex Girl To The Next Girl","Gang Starr",7,"1992-10-31","Chrysalis"
"True Fuschnick","Fu-Schnickens",25,"1992-10-31","Jive"
"Ex Girl To The Next Girl","Gang Starr",5,"1992-11-07","Chrysalis"
"360 Degrees (What Goes Around)","Grand Puba",8,"1992-11-07","Elektra"
"True Fuschnick","Fu-Schnickens",21,"1992-11-07","Jive"
"360 Degrees (What Goes Around)","Grand Puba",9,"1992-11-14","Elektra"
"Ex Girl To The Next Girl","Gang Starr",17,"1992-11-14","Chrysalis"
"True Fuschnick","Fu-Schnickens",20,"1992-11-14","Jive"
"360 Degrees (What Goes Around)","Grand Puba",16,"1992-11-21","Elektra"
"True Fuschnick","Fu-Schnickens",18,"1992-11-21","Jive"
"Ex Girl To The Next Girl","Gang Starr",19,"1992-11-21","Chrysalis"
"True Fuschnick","Fu-Schnickens",18,"1992-11-28","Jive"
"360 Degrees (What Goes Around)","Grand Puba",20,"1992-11-28","Elektra"
"Ex Girl To The Next Girl","Gang Starr",23,"1992-11-28","Chrysalis"
"360 Degrees (What Goes Around)","Grand Puba",20,"1992-12-05","Elektra"
"True Fuschnick","Fu-Schnickens",24,"1992-12-05","Jive"
"Ex Girl To The Next Girl","Gang Starr",28,"1992-12-05","Chrysalis"
"360 Degrees (What Goes Around)","Grand Puba",20,"1992-12-12","Elektra"
"Everything's Gonna Be Alright","Father M.C.",25,"1992-12-19","Uptown"
"360 Degrees (What Goes Around)","Grand Puba",30,"1992-12-19","Elektra"
"Everything's Gonna Be Alright","Father M.C.",17,"1992-12-26","Uptown"
"360 Degrees (What Goes Around)","Grand Puba",30,"1992-12-26","Elektra"
"Everything's Gonna Be Alright","Father M.C.",17,"1993-01-02","Uptown"
"360 Degrees (What Goes Around)","Grand Puba",30,"1993-01-02","Elektra"
"Everything's Gonna Be Alright","Father M.C.",14,"1993-01-09","Uptown"
"Everything's Gonna Be Alright","Father M.C.",14,"1993-01-16","Uptown"
"Everything's Gonna Be Alright","Father M.C.",7,"1993-01-23","Uptown"
"Everything's Gonna Be Alright","Father M.C.",6,"1993-01-30","Uptown"
"Everything's Gonna Be Alright","Father M.C.",5,"1993-02-06","Uptown"
"Check It Out","Grand Puba",26,"1993-02-06","Elektra"
"Everything's Gonna Be Alright","Father M.C.",2,"1993-02-13","Uptown"
"Check It Out","Grand Puba",22,"1993-02-13","Elektra"
"Everything's Gonna Be Alright","Father M.C.",2,"1993-02-20","Uptown"
"Check It Out","Grand Puba",19,"1993-02-20","Elektra"
"Everything's Gonna Be Alright","Father M.C.",2,"1993-02-27","Uptown"
"Check It Out","Grand Puba",15,"1993-02-27","Elektra"
"Everything's Gonna Be Alright","Father M.C.",6,"1993-03-06","Uptown"
"Check It Out","Grand Puba",15,"1993-03-06","Elektra"
"Everything's Gonna Be Alright","Father M.C.",12,"1993-03-13","Uptown"
"Check It Out","Grand Puba",13,"1993-03-13","Elektra"
"Crooked Officer","Geto Boys",21,"1993-03-13","Rap-A-Lot"
"Check It Out","Grand Puba",13,"1993-03-20","Elektra"
"Crooked Officer","Geto Boys",15,"1993-03-20","Rap-A-Lot"
"Everything's Gonna Be Alright","Father M.C.",23,"1993-03-20","Uptown"
"Crooked Officer","Geto Boys",11,"1993-03-27","Rap-A-Lot"
"Check It Out","Grand Puba",22,"1993-03-27","Elektra"
"Crooked Officer","Geto Boys",8,"1993-04-03","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",27,"1993-04-03","Immortal"
"Crooked Officer","Geto Boys",8,"1993-04-10","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",20,"1993-04-10","Immortal"
"Crooked Officer","Geto Boys",7,"1993-04-17","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",20,"1993-04-17","Immortal"
"Crooked Officer","Geto Boys",4,"1993-04-24","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",18,"1993-04-24","Immortal"
"Crooked Officer","Geto Boys",9,"1993-05-01","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",11,"1993-05-01","Immortal"
"Bow Wow Wow","Funkdoobiest",10,"1993-05-08","Immortal"
"Crooked Officer","Geto Boys",20,"1993-05-08","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",10,"1993-05-15","Immortal"
"Six Feet Deep","Geto Boys",23,"1993-05-15","Rap-A-Lot"
"Crooked Officer","Geto Boys",27,"1993-05-15","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",9,"1993-05-22","Immortal"
"Six Feet Deep","Geto Boys",18,"1993-05-22","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",10,"1993-05-29","Immortal"
"Six Feet Deep","Geto Boys",16,"1993-05-29","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",11,"1993-06-05","Immortal"
"Six Feet Deep","Geto Boys",12,"1993-06-05","Rap-A-Lot"
"Six Feet Deep","Geto Boys",8,"1993-06-12","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",16,"1993-06-12","Immortal"
"Six Feet Deep","Geto Boys",5,"1993-06-19","Rap-A-Lot"
"Bow Wow Wow","Funkdoobiest",23,"1993-06-19","Immortal"
"Six Feet Deep","Geto Boys",5,"1993-06-26","Rap-A-Lot"
"Six Feet Deep","Geto Boys",3,"1993-07-03","Rap-A-Lot"
"Six Feet Deep","Geto Boys",3,"1993-07-10","Rap-A-Lot"
"D-Shot Call","General Grant",24,"1993-07-10","RaRa"
"Six Feet Deep","Geto Boys",2,"1993-07-17","Rap-A-Lot"
"D-Shot Call","General Grant",22,"1993-07-17","RaRa"
"Six Feet Deep","Geto Boys",5,"1993-07-24","Rap-A-Lot"
"D-Shot Call","General Grant",18,"1993-07-24","RaRa"
"Six Feet Deep","Geto Boys",9,"1993-07-31","Rap-A-Lot"
"D-Shot Call","General Grant",17,"1993-07-31","RaRa"
"D-Shot Call","General Grant",20,"1993-08-07","RaRa"
"Six Feet Deep","Geto Boys",22,"1993-08-07","Rap-A-Lot"
"D-Shot Call","General Grant",27,"1993-08-14","RaRa"
"What's Up Doc?","Fu-Schnickens W/ Shaquille O'Neal",30,"1993-08-14","Jive"
"What's Up Doc?","Fu-Schnickens W/ Shaquille O'Neal",22,"1993-08-21","Jive"
"What's Up Doc?","Fu-Schnickens W/ Shaquille O'Neal",22,"1993-08-28","Jive"
"The Funkiest/Freak Mode","Funkdoobiest",16,"1993-09-04","Immortal"
"The Funkiest/Freak Mode","Funkdoobiest",17,"1993-09-11","Immortal"
"The Funkiest/Freak Mode","Funkdoobiest",18,"1993-09-18","Immortal"
"The Funkiest/Freak Mode","Funkdoobiest",20,"1993-09-25","Immortal"
"The Funkiest/Freak Mode","Funkdoobiest",28,"1993-10-02","Immortal"
"Paint The White House Black","George Clinton",26,"1993-10-09","Paisley Park"
"Paint The White House Black","George Clinton",20,"1993-10-16","Paisley Park"
"Paint The White House Black","George Clinton",11,"1993-10-23","Paisley Park"
"Paint The White House Black","George Clinton",11,"1993-10-30","Paisley Park"
"Paint The White House Black","George Clinton",8,"1993-11-06","Paisley Park"
"Paint The White House Black","George Clinton",7,"1993-11-13","Paisley Park"
"Paint The White House Black","George Clinton",8,"1993-11-20","Paisley Park"
69,"Father",25,"1993-11-20","Uptown"
69,"Father",11,"1993-11-27","Uptown"
"Paint The White House Black","George Clinton",14,"1993-11-27","Paisley Park"
69,"Father",13,"1993-12-04","Uptown"
69,"Father",14,"1993-12-11","Uptown"
69,"Father",16,"1993-12-18","Uptown"
69,"Father",16,"1993-12-25","Uptown"
69,"Father",15,"1994-01-01","Uptown"
69,"Father",16,"1994-01-08","Uptown"
69,"Father",16,"1994-01-15","Uptown"
69,"Father",16,"1994-01-22","Uptown"
69,"Father",17,"1994-01-29","Uptown"
"I Beeped You","Father",37,"1994-01-29","Uptown"
69,"Father",18,"1994-02-05","Uptown"
"I Beeped You","Father",42,"1994-02-05","Uptown"
69,"Father",21,"1994-02-12","Uptown"
"I Beeped You","Father",40,"1994-02-12","Uptown"
"Mass Appeal","Gang Starr",19,"1994-02-19","Chrysalis"
69,"Father",24,"1994-02-19","Uptown"
"I Beeped You","Father",40,"1994-02-19","Uptown"
"Mass Appeal","Gang Starr",14,"1994-02-26","Chrysalis"
69,"Father",29,"1994-02-26","Uptown"
"I Beeped You","Father",31,"1994-02-26","Uptown"
"Mass Appeal","Gang Starr",10,"1994-03-05","Chrysalis"
69,"Father",36,"1994-03-05","Uptown"
"I Beeped You","Father",42,"1994-03-05","Uptown"
"Mass Appeal","Gang Starr",10,"1994-03-12","Chrysalis"
69,"Father",40,"1994-03-12","Uptown"
"I Beeped You","Father",45,"1994-03-12","Uptown"
"Mass Appeal","Gang Starr",10,"1994-03-19","Chrysalis"
69,"Father",41,"1994-03-19","Uptown"
"Mass Appeal","Gang Starr",12,"1994-03-26","Chrysalis"
69,"Father",48,"1994-03-26","Uptown"
"Mass Appeal","Gang Starr",14,"1994-04-02","Chrysalis"
"Mass Appeal","Gang Starr",15,"1994-04-09","Chrysalis"
"Mass Appeal","Gang Starr",17,"1994-04-16","Chrysalis"
"The Shit Is Real","Fat Joe Da Gangsta",38,"1994-04-16","Relativity"
"Mass Appeal","Gang Starr",14,"1994-04-23","Chrysalis"
"The Shit Is Real","Fat Joe Da Gangsta",41,"1994-04-23","Relativity"
"Mass Appeal","Gang Starr",19,"1994-04-30","Chrysalis"
"So Tough","Freddie Foxxx",32,"1994-04-30","Flavor Unit"
"The Shit Is Real","Fat Joe Da Gangsta",41,"1994-04-30","Relativity"
"Mass Appeal","Gang Starr",23,"1994-05-07","Chrysalis"
"So Tough","Freddie Foxxx",41,"1994-05-07","Flavor Unit"
"Mass Appeal","Gang Starr",24,"1994-05-14","Chrysalis"
"The Shit Is Real","Fat Joe Da Gangsta",40,"1994-05-14","Relativity"
"So Tough","Freddie Foxxx",43,"1994-05-14","Flavor Unit"
"Mass Appeal","Gang Starr",29,"1994-05-21","Chrysalis"
"So Tough","Freddie Foxxx",43,"1994-05-21","Flavor Unit"
"The Shit Is Real","Fat Joe Da Gangsta",45,"1994-05-21","Relativity"
"Mass Appeal","Gang Starr",34,"1994-05-28","Chrysalis"
"The Shit Is Real","Fat Joe Da Gangsta",41,"1994-05-28","Relativity"
"Code Of The Streets","Gang Starr",36,"1994-06-04","Chrysalis"
"Mass Appeal","Gang Starr",39,"1994-06-04","Chrysalis"
"Nappy Heads","Fugees",45,"1994-06-04","Ruffhouse"
"The Shit Is Real","Fat Joe Da Gangsta",47,"1994-06-04","Relativity"
"Nappy Heads","Fugees",25,"1994-06-11","Ruffhouse"
"Code Of The Streets","Gang Starr",33,"1994-06-11","Chrysalis"
"The Shit Is Real","Fat Joe Da Gangsta",48,"1994-06-11","Relativity"
"Mass Appeal","Gang Starr",49,"1994-06-11","Chrysalis"
"Nappy Heads","Fugees",28,"1994-06-18","Ruffhouse"
"Code Of The Streets","Gang Starr",41,"1994-06-18","Chrysalis"
"Nappy Heads","Fugees",17,"1994-06-25","Ruffhouse"
"Code Of The Streets","Gang Starr",33,"1994-06-25","Chrysalis"
"Nappy Heads","Fugees",13,"1994-07-02","Ruffhouse"
"Diary Of A Madman","Gravediggaz",28,"1994-07-02","Gee Street"
"Code Of The Streets","Gang Starr",41,"1994-07-02","Chrysalis"
"Diary Of A Madman","Gravediggaz",8,"1994-07-09","Gee Street"
"Nappy Heads","Fugees",15,"1994-07-09","Ruffhouse"
"Code Of The Streets","Gang Starr",46,"1994-07-09","Chrysalis"
"Diary Of A Madman","Gravediggaz",11,"1994-07-16","Gee Street"
"Nappy Heads","Fugees",18,"1994-07-16","Ruffhouse"
"Code Of The Streets","Gang Starr",39,"1994-07-16","Chrysalis"
"Diary Of A Madman","Gravediggaz",11,"1994-07-23","Gee Street"
"Nappy Heads","Fugees",14,"1994-07-23","Ruffhouse"
"Code Of The Streets","Gang Starr",40,"1994-07-23","Chrysalis"
"Diary Of A Madman","Gravediggaz",11,"1994-07-30","Gee Street"
"Nappy Heads","Fugees",17,"1994-07-30","Ruffhouse"
"Diary Of A Madman","Gravediggaz",12,"1994-08-06","Gee Street"
"Nappy Heads","Fugees",16,"1994-08-06","Ruffhouse"
"Nappy Heads","Fugees",12,"1994-08-13","Ruffhouse"
"Diary Of A Madman","Gravediggaz",15,"1994-08-13","Gee Street"
"Nappy Heads","Fugees",14,"1994-08-20","Ruffhouse"
"Diary Of A Madman","Gravediggaz",18,"1994-08-20","Gee Street"
"Live Evil","Flatlinerz",35,"1994-08-20","Def Jam"
"Nappy Heads","Fugees",14,"1994-08-27","Ruffhouse"
"Diary Of A Madman","Gravediggaz",21,"1994-08-27","Gee Street"
"Live Evil","Flatlinerz",48,"1994-08-27","Def Jam"
"Nappy Heads","Fugees",16,"1994-09-03","Ruffhouse"
"Diary Of A Madman","Gravediggaz",26,"1994-09-03","Gee Street"
"Live Evil","Flatlinerz",46,"1994-09-03","Def Jam"
"Nappy Heads","Fugees",19,"1994-09-10","Ruffhouse"
"Dwyck","Gang Starr",25,"1994-09-10","Chrysalis"
"Diary Of A Madman","Gravediggaz",28,"1994-09-10","Gee Street"
"Live Evil","Flatlinerz",39,"1994-09-10","Def Jam"
"I Gotcha' Back","Genius",41,"1994-09-10","Loud"
"Nappy Heads","Fugees",18,"1994-09-17","Ruffhouse"
"I Gotcha' Back","Genius",29,"1994-09-17","Loud"
"Diary Of A Madman","Gravediggaz",32,"1994-09-17","Gee Street"
"Dwyck","Gang Starr",38,"1994-09-17","Chrysalis"
"Live Evil","Flatlinerz",39,"1994-09-17","Def Jam"
"Nappy Heads","Fugees",22,"1994-09-24","Ruffhouse"
"I Gotcha' Back","Genius",39,"1994-09-24","Loud"
"Diary Of A Madman","Gravediggaz",40,"1994-09-24","Gee Street"
"Dwyck","Gang Starr",44,"1994-09-24","Chrysalis"
"Live Evil","Flatlinerz",47,"1994-09-24","Def Jam"
"Nappy Heads","Fugees",22,"1994-10-01","Ruffhouse"
"Dwyck","Gang Starr",38,"1994-10-01","Chrysalis"
"Diary Of A Madman","Gravediggaz",40,"1994-10-01","Gee Street"
"I Gotcha' Back","Genius",43,"1994-10-01","Loud"
"Nappy Heads","Fugees",27,"1994-10-08","Ruffhouse"
"I Gotcha' Back","Genius",37,"1994-10-08","Loud"
"Dwyck","Gang Starr",41,"1994-10-08","Chrysalis"
"Diary Of A Madman","Gravediggaz",50,"1994-10-08","Gee Street"
"Nappy Heads","Fugees",28,"1994-10-15","Ruffhouse"
"I Gotcha' Back","Genius",35,"1994-10-15","Loud"
"Breakdown","Fu-Schnickens",50,"1994-10-15","Jive"
"Breakdown","Fu-Schnickens",7,"1994-10-22","Jive"
"Nappy Heads","Fugees",39,"1994-10-22","Ruffhouse"
"I Gotcha' Back","Genius",40,"1994-10-22","Loud"
"Suckas Need Bodyguards","Gang Starr",44,"1994-10-22","Chrysalis"
"Breakdown","Fu-Schnickens",8,"1994-10-29","Jive"
"Suckas Need Bodyguards","Gang Starr",44,"1994-10-29","Chrysalis"
"Nappy Heads","Fugees",46,"1994-10-29","Ruffhouse"
"I Gotcha' Back","Genius",49,"1994-10-29","Loud"
"Breakdown","Fu-Schnickens",9,"1994-11-05","Jive"
"Breakdown","Fu-Schnickens",10,"1994-11-12","Jive"
"Vocab","Fugees",50,"1994-11-12","Ruffhouse"
"Breakdown","Fu-Schnickens",10,"1994-11-19","Jive"
"Breakdown","Fu-Schnickens",12,"1994-11-26","Jive"
"Vocab","Fugees",47,"1994-11-26","Ruffhouse"
"Breakdown","Fu-Schnickens",11,"1994-12-03","Jive"
"Vocab","Fugees",33,"1994-12-03","Ruffhouse"
"Breakdown","Fu-Schnickens",9,"1994-12-10","Jive"
"Vocab","Fugees",35,"1994-12-10","Ruffhouse"
"Breakdown","Fu-Schnickens",10,"1994-12-17","Jive"
"Vocab","Fugees",38,"1994-12-17","Ruffhouse"
"Breakdown","Fu-Schnickens",18,"1994-12-24","Jive"
"Vocab","Fugees",32,"1994-12-24","Ruffhouse"
"Breakdown","Fu-Schnickens",16,"1994-12-31","Jive"
"Vocab","Fugees",31,"1994-12-31","Ruffhouse"
"Breakdown","Fu-Schnickens",19,"1995-01-07","Jive"
"Vocab","Fugees",25,"1995-01-07","Ruffhouse"
"Breakdown","Fu-Schnickens",16,"1995-01-14","Jive"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",21,"1995-01-14","Wreck"
"Vocab","Fugees",22,"1995-01-14","Ruffhouse"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",20,"1995-01-21","Wreck"
"Breakdown","Fu-Schnickens",21,"1995-01-21","Jive"
"Vocab","Fugees",23,"1995-01-21","Ruffhouse"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",20,"1995-01-28","Wreck"
"Breakdown","Fu-Schnickens",22,"1995-01-28","Jive"
"Vocab","Fugees",26,"1995-01-28","Ruffhouse"
"Vocab","Fugees",23,"1995-02-04","Ruffhouse"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",26,"1995-02-04","Wreck"
"Breakdown","Fu-Schnickens",32,"1995-02-04","Jive"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",23,"1995-02-11","Wreck"
"Vocab","Fugees",27,"1995-02-11","Ruffhouse"
"Breakdown","Fu-Schnickens",30,"1995-02-11","Jive"
"1-800-Suicide","Gravediggaz",46,"1995-02-11","Gee Street"
"Breakdown","Fu-Schnickens",31,"1995-02-18","Jive"
"Vocab","Fugees",32,"1995-02-18","Ruffhouse"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",34,"1995-02-18","Wreck"
"Rock On","Funkdoobiest",43,"1995-02-18","Immortal"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",31,"1995-02-25","Wreck"
"Vocab","Fugees",37,"1995-02-25","Ruffhouse"
"Breakdown","Fu-Schnickens",42,"1995-02-25","Jive"
"Rock On","Funkdoobiest",50,"1995-02-25","Immortal"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",28,"1995-03-04","Wreck"
"Vocab","Fugees",40,"1995-03-04","Ruffhouse"
"Breakdown","Fu-Schnickens",44,"1995-03-04","Jive"
"Vocab","Fugees",41,"1995-03-11","Ruffhouse"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",42,"1995-03-11","Wreck"
"Boriquas On Da Set","Frankie Cutlass",33,"1995-03-18","Violator"
"Nuttin But Flavor","Funkmaster Flex & The Ghetto Celebs",45,"1995-03-18","Wreck"
"Boriquas On Da Set","Frankie Cutlass",37,"1995-03-25","Violator"
"Boriquas On Da Set","Frankie Cutlass",30,"1995-04-01","Violator"
"Boriquas On Da Set","Frankie Cutlass",29,"1995-04-08","Violator"
"Boriquas On Da Set","Frankie Cutlass",30,"1995-04-15","Violator"
"Boriquas On Da Set","Frankie Cutlass",50,"1995-04-22","Violator"
"Boriquas On Da Set","Frankie Cutlass",38,"1995-04-29","Violator"
"Boriquas On Da Set","Frankie Cutlass",47,"1995-05-06","Violator"
"I Like It (I Wanna Be Where You Are)","Grand Puba",21,"1995-06-03","Elektra"
"I Like It (I Wanna Be Where You Are)","Grand Puba",30,"1995-06-10","Elektra"
"I Like It (I Wanna Be Where You Are)","Grand Puba",31,"1995-06-17","Elektra"
"Rock On","Funkdoobiest",32,"1995-06-24","Immortal"
"I Like It (I Wanna Be Where You Are)","Grand Puba",38,"1995-06-24","Elektra"
"Rock On","Funkdoobiest",36,"1995-07-01","Immortal"
"I Like It (I Wanna Be Where You Are)","Grand Puba",38,"1995-07-01","Elektra"
"Rock On","Funkdoobiest",33,"1995-07-08","Immortal"
"I Like It (I Wanna Be Where You Are)","Grand Puba",38,"1995-07-08","Elektra"
"I Like It (I Wanna Be Where You Are)","Grand Puba",38,"1995-07-15","Elektra"
"Rock On","Funkdoobiest",50,"1995-07-15","Immortal"
"I Like It (I Wanna Be Where You Are)","Grand Puba",41,"1995-07-22","Elektra"
"I Like It (I Wanna Be Where You Are)","Grand Puba",48,"1995-07-29","Elektra"
"Backyard Party","Florida Boyz",47,"1995-08-05","Tony Mercedes"
"I Like It (I Wanna Be Where You Are)","Grand Puba",48,"1995-08-12","Elektra"
"Backyard Party","Florida Boyz",50,"1995-08-12","Tony Mercedes"
"A Little Of This","Grand Puba",25,"1995-08-19","Elektra"
"Backyard Party","Florida Boyz",47,"1995-08-19","Tony Mercedes"
"A Little Of This","Grand Puba",21,"1995-08-26","Elektra"
"A Little Of This","Grand Puba",26,"1995-09-02","Elektra"
"A Little Of This","Grand Puba",35,"1995-09-09","Elektra"
"A Little Of This","Grand Puba",45,"1995-09-16","Elektra"
"A Little Of This","Grand Puba",39,"1995-09-23","Elektra"
"A Little Of This","Grand Puba",46,"1995-09-30","Elektra"
"A Little Of This","Grand Puba",46,"1995-10-07","Elektra"
"Cell Therapy","Goodie Mob",9,"1995-10-14","LaFace"
"Cell Therapy","Goodie Mob",3,"1995-10-21","LaFace"
"East Side Rendezvous","Frost",27,"1995-10-21","Ruthless"
"Liquid Swords","Genius/GZA",28,"1995-10-21","Geffen"
"Cell Therapy","Goodie Mob",3,"1995-10-28","LaFace"
"Liquid Swords","Genius/GZA",4,"1995-10-28","Geffen"
"East Side Rendezvous","Frost",23,"1995-10-28","Ruthless"
"Cell Therapy","Goodie Mob",2,"1995-11-04","LaFace"
"Liquid Swords","Genius/GZA",3,"1995-11-04","Geffen"
"East Side Rendezvous","Frost",23,"1995-11-04","Ruthless"
"Cell Therapy","Goodie Mob",2,"1995-11-11","LaFace"
"Liquid Swords","Genius/GZA",3,"1995-11-11","Geffen"
"East Side Rendezvous","Frost",28,"1995-11-11","Ruthless"
"Cell Therapy","Goodie Mob",1,"1995-11-18","LaFace"
"Liquid Swords","Genius/GZA",4,"1995-11-18","Geffen"
"East Side Rendezvous","Frost",33,"1995-11-18","Ruthless"
"Cell Therapy","Goodie Mob",3,"1995-11-25","LaFace"
"Liquid Swords","Genius/GZA",8,"1995-11-25","Geffen"
"East Side Rendezvous","Frost",30,"1995-11-25","Ruthless"
"Sexual Playground","Father M.C.",48,"1995-11-25","Spoiled Brat"
"Cell Therapy","Goodie Mob",2,"1995-12-02","LaFace"
"Liquid Swords","Genius/GZA",8,"1995-12-02","Geffen"
