"Title","Artist","Rank","Chart Date","Imprint"
"On The Road Again","Audio Two",22,"1990-06-30","First Priority"
"Untouchable","Above The Law",13,"1990-07-07","Ruthless"
"On The Road Again","Audio Two",18,"1990-07-07","First Priority"
"Untouchable","Above The Law",11,"1990-07-14","Ruthless"
"On The Road Again","Audio Two",25,"1990-07-14","First Priority"
"Untouchable","Above The Law",8,"1990-07-21","Ruthless"
"Untouchable","Above The Law",6,"1990-07-28","Ruthless"
"Untouchable","Above The Law",4,"1990-08-04","Ruthless"
"Untouchable","Above The Law",4,"1990-08-11","Ruthless"
"Untouchable","Above The Law",1,"1990-08-18","Ruthless"
"Untouchable","Above The Law",5,"1990-08-25","Ruthless"
"Bonita Applebum","A Tribe Called Quest",30,"1990-08-25","Jive"
"Untouchable","Above The Law",4,"1990-09-01","Ruthless"
"Bonita Applebum","A Tribe Called Quest",25,"1990-09-01","Jive"
"Untouchable","Above The Law",13,"1990-09-08","Ruthless"
"Bonita Applebum","A Tribe Called Quest",19,"1990-09-08","Jive"
"Bonita Applebum","A Tribe Called Quest",18,"1990-09-15","Jive"
"Untouchable","Above The Law",24,"1990-09-15","Ruthless"
"Bonita Applebum","A Tribe Called Quest",11,"1990-09-22","Jive"
"Bonita Applebum","A Tribe Called Quest",7,"1990-09-29","Jive"
"Bonita Applebum","A Tribe Called Quest",7,"1990-10-06","Jive"
"Bonita Applebum","A Tribe Called Quest",5,"1990-10-13","Jive"
"Bonita Applebum","A Tribe Called Quest",4,"1990-10-20","Jive"
"Bonita Applebum","A Tribe Called Quest",4,"1990-10-27","Jive"
"Bonita Applebum","A Tribe Called Quest",7,"1990-11-03","Jive"
"Bonita Applebum","A Tribe Called Quest",12,"1990-11-10","Jive"
"Bonita Applebum","A Tribe Called Quest",23,"1990-11-17","Jive"
"Bonita Applebum","A Tribe Called Quest",25,"1990-11-24","Jive"
"He's King Of The Hype","2 Bigg M.C.",26,"1990-12-22","Crush"
"He's King Of The Hype","2 Bigg M.C.",26,"1990-12-29","Crush"
"He's King Of The Hype","2 Bigg M.C.",23,"1991-01-05","Crush"
"He's King Of The Hype","2 Bigg M.C.",24,"1991-01-12","Crush"
"Can I Kick It?","A Tribe Called Quest",29,"1991-01-12","Jive"
"He's King Of The Hype","2 Bigg M.C.",22,"1991-01-19","Crush"
"Can I Kick It?","A Tribe Called Quest",24,"1991-01-19","Jive"
"Can I Kick It?","A Tribe Called Quest",20,"1991-01-26","Jive"
"He's King Of The Hype","2 Bigg M.C.",24,"1991-01-26","Crush"
"Can I Kick It?","A Tribe Called Quest",15,"1991-02-02","Jive"
"He's King Of The Hype","2 Bigg M.C.",25,"1991-02-02","Crush"
"Can I Kick It?","A Tribe Called Quest",12,"1991-02-09","Jive"
"He's King Of The Hype","2 Bigg M.C.",24,"1991-02-09","Crush"
"Burn Baby Burn","2 Black 2 Strong MMG",27,"1991-02-09","Clappers"
"Can I Kick It?","A Tribe Called Quest",11,"1991-02-16","Jive"
"Burn Baby Burn","2 Black 2 Strong MMG",28,"1991-02-16","Clappers"
"He's King Of The Hype","2 Bigg M.C.",29,"1991-02-16","Crush"
"Can I Kick It?","A Tribe Called Quest",9,"1991-02-23","Jive"
"Burn Baby Burn","2 Black 2 Strong MMG",25,"1991-02-23","Clappers"
"He's King Of The Hype","2 Bigg M.C.",26,"1991-02-23","Crush"
"Can I Kick It?","A Tribe Called Quest",10,"1991-03-02","Jive"
"Burn Baby Burn","2 Black 2 Strong MMG",27,"1991-03-02","Clappers"
"He's King Of The Hype","2 Bigg M.C.",30,"1991-03-02","Crush"
"Can I Kick It?","A Tribe Called Quest",8,"1991-03-09","Jive"
"Burn Baby Burn","2 Black 2 Strong MMG",30,"1991-03-09","Clappers"
"Can I Kick It?","A Tribe Called Quest",19,"1991-03-16","Jive"
"Burn Baby Burn","2 Black 2 Strong MMG",27,"1991-03-16","Clappers"
"Can I Kick It?","A Tribe Called Quest",25,"1991-03-23","Jive"
"Burn Baby Burn","2 Black 2 Strong MMG",30,"1991-03-23","Clappers"
"Crank It Up","ARB",23,"1991-04-20","Sound Of New York"
"Crank It Up","ARB",21,"1991-04-27","Sound Of New York"
"Crank It Up","ARB",16,"1991-05-04","Sound Of New York"
"Crank It Up","ARB",15,"1991-05-11","Sound Of New York"
"Crank It Up","ARB",11,"1991-05-18","Sound Of New York"
"Crank It Up","ARB",14,"1991-05-25","Sound Of New York"
"Bitch Betta Have My Money","AMG",27,"1991-05-25","Select"
"Crank It Up","ARB",14,"1991-06-01","Sound Of New York"
"Bitch Betta Have My Money","AMG",21,"1991-06-01","Select"
"Pop Goes The Weasel","3rd Bass",23,"1991-06-01","Def Jam"
"Bitch Betta Have My Money","AMG",17,"1991-06-08","Select"
"Pop Goes The Weasel","3rd Bass",21,"1991-06-08","Def Jam"
"Crank It Up","ARB",29,"1991-06-08","Sound Of New York"
"Pop Goes The Weasel","3rd Bass",14,"1991-06-15","Def Jam"
"Bitch Betta Have My Money","AMG",17,"1991-06-15","Select"
"Bitch Betta Have My Money","AMG",8,"1991-06-22","Select"
"Pop Goes The Weasel","3rd Bass",12,"1991-06-22","Def Jam"
"Pop Goes The Weasel","3rd Bass",7,"1991-06-29","Def Jam"
"Bitch Betta Have My Money","AMG",8,"1991-06-29","Select"
"Pop Goes The Weasel","3rd Bass",6,"1991-07-06","Def Jam"
"Bitch Betta Have My Money","AMG",8,"1991-07-06","Select"
"Pop Goes The Weasel","3rd Bass",1,"1991-07-13","Def Jam"
"Bitch Betta Have My Money","AMG",5,"1991-07-13","Select"
"Pop Goes The Weasel","3rd Bass",1,"1991-07-20","Def Jam"
"Bitch Betta Have My Money","AMG",6,"1991-07-20","Select"
"Pop Goes The Weasel","3rd Bass",2,"1991-07-27","Def Jam"
"Bitch Betta Have My Money","AMG",7,"1991-07-27","Select"
"Pop Goes The Weasel","3rd Bass",4,"1991-08-03","Def Jam"
"Bitch Betta Have My Money","AMG",8,"1991-08-03","Select"
"Pop Goes The Weasel","3rd Bass",8,"1991-08-10","Def Jam"
"Bitch Betta Have My Money","AMG",12,"1991-08-10","Select"
"Pop Goes The Weasel","3rd Bass",10,"1991-08-17","Def Jam"
"Bitch Betta Have My Money","AMG",11,"1991-08-17","Select"
"Bitch Betta Have My Money","AMG",15,"1991-08-24","Select"
"Pop Goes The Weasel","3rd Bass",21,"1991-08-24","Def Jam"
